bn:00028017n	 "A written account of ownership or obligation" "A written account of ownership or obligation"
bn:00054567n	 "The activity of making things out of metal in a skillful manner" "The activity of making things out of metal in a skillful manner" "Metalworking is the process of shaping and reshaping metals to create useful objects, parts, assemblies, and large scale structures." "The process of working with metals to create individual parts, assemblies, or large-scale structures" "Process of making items from metal; production and processing of shaped workpieces made of metals" "The act of shaping metal, metalworking."
bn:00003893n	 "The descendants of one individual" "The descendants of one individual" "A line of ancestors coming down to one's parents." "The descendants of one individual." "Resemblance among individuals related by descent; transmission of traits from parents to offspring." "His entire lineage has been warriors" "His entire lineage has been warriors"
bn:00026809n	 "A doctor who specializes in medical diagnosis" "A doctor who specializes in medical diagnosis" "A specialized doctor who treats pathologies." "The identification of the nature and cause of something (of any nature)." "Identification of the nature and cause of something." "A person who diagnoses, especially a medical doctor." "A medical doctor specialized in diagnoses."
bn:00058408n	 "Someone who rows a boat" "Someone who rows a boat" "A man who rows a boat, either alone or with others."
bn:00019763n	 "Someone who pays for goods or services" "Someone who pays for goods or services" "In sales, commerce and economics, a customer is the recipient of a good, service, product or an idea - obtained from a seller, vendor, or supplier via a financial transaction or exchange for money or some other valuable consideration." "Also called patron" "Recipient of a good, service, product or idea obtained from a seller via a financial transaction" "Someone who pays for goods or services." "A customer, a buyer or receiver of goods or services." "A customer or receiver of services."
bn:00052457n	 "The practice of punishing people by hanging without due process of law" "The practice of punishing people by hanging without due process of law" "The execution of a person by mob action without due process of law, especially hanging." "The practice of condemning and punishing a person by mob action without a proper trial."
bn:00002006n	 "Action that makes a problem or a disease (or its symptoms) worse" "Action that makes a problem or a disease (or its symptoms) worse" "The act of aggravating, or making worse; used of evils, natural or moral; the act of increasing in severity or heinousness; something additional to a crime or wrong and enhancing its guilt or injurious consequences." "Act of aggravating." "An increase in the severity of something (such as a disease)." "Increase in severity." "The aggravation of her condition resulted from lack of care" "The aggravation of her condition resulted from lack of care"
bn:00026716n	 "An instrumentality invented for a particular purpose" "An instrumentality invented for a particular purpose" "A device able to perform a particular, more or less complex, job." "Any piece of equipment made for a particular purpose, especially a mechanical or electrical one." "Piece of equipment." "A device that directs and controls energy, often in the form of movement or electricity, to produce a certain effect." "The device is small enough to wear on your wrist" "A device intended to conserve water" "A device intended to conserve water" "The device is small enough to wear on your wrist" "There are a number of household devices in a kitchen such as a dishwasher, a garbage disposal, or an electric can opener."
bn:00004401n	 "Time of the earth's revolution from perihelion to perihelion again; 365 days and 6 hr and 13 min and 53.1 sec" "Time of the earth's revolution from perihelion to perihelion again; 365 days and 6 hr and 13 min and 53.1 sec" "The time taken for the Earth to complete one revolution with respect to its apsides, usually defined as the time between perihelion passages." "Time taken for the Earth to complete one revolution."
bn:00043130n	 "A movable barrier covering a hatchway" "A movable barrier covering a hatchway" "A horizontal door in a floor or ceiling." "Horizontal door." "A hinged or sliding door set into a floor or ceiling." "Door set into floor or ceiling."
bn:00050526n	 "A baseball pitcher who throws the ball with the left hand" "A baseball pitcher who throws the ball with the left hand" "A left-handed relief pitcher who specializes in getting left-handed or poor right-handed switch batters out ." "One who is left-handed." "A left-handed pitcher." "Since home plate is generally in the southwest corner to avoid glare in the batter's eyes, a southpaw's pitching hand is to the south."
bn:00009655n	 "The action or reaction of something (as a machine or substance) under specified circumstances" "The action or reaction of something (as a machine or substance) under specified circumstances" "The behavior of small particles can be studied in experiments" "The behavior of small particles can be studied in experiments"
bn:00025964n	 "The act of swallowing" "The act of swallowing" "Swallowing, sometimes called deglutition in scientific contexts, is the process in the human or animal body that allows for a substance to pass from the mouth, to the pharynx, and into the esophagus, while shutting the epiglottis." "Process used to transport food and saliva from the mouth to the stomach" "The reflex in the human body that makes something pass from the mouth to the pharynx and into the esophagus, with the shutting of the epiglottis." "The act of swallowing." "The act or process of swallowing." "The action of drinking, especially with the verbs take or have." "Action of drinking." "The amount swallowed in one gulp; the act of swallowing." "Amount swallowed." "The act of swallowing." "Act of swallowing." "He took a drink of his beer and smacked his lips" "One swallow of the liquid was enough" "One swallow of the liquid was enough" "He took a drink of his beer and smacked his lips" "He took the aspirin with a single swallow of water." "He was about to take a drink from his root beer."
bn:00061511n	 "Any of numerous fishes of America and Europe" "Any of numerous fishes of America and Europe" "Perch is a common name for fish of the genus Perca, freshwater gamefish belonging to the family Percidae." "The common name for the freshwater fish in the genus Perca"
bn:00028230n	 "A locomotive for switching rolling stock in a railroad yard" "A locomotive for switching rolling stock in a railroad yard" "A switcher or shunter: a railroad locomotive used for shunting."
bn:00074866n	 "In some classifications considered a phylum of the kingdom Protista; holozoic or saprozoic flagellates" "In some classifications considered a phylum of the kingdom Protista; holozoic or saprozoic flagellates"
bn:00020437n	 "Tall pot in which coffee is brewed" "Tall pot in which coffee is brewed" "A container with a lid and handle used to serve coffee."
bn:00057995n	 "A storm blowing from the northeast" "A storm blowing from the northeast" "A nor'easter is a synoptic-scale extratropical cyclone in the western North Atlantic Ocean." "An extratropical storm, usually found in coastal New England and Atlantic Canada, whose winds usually come from the northeast."
bn:00920897n	 "Chaos;Head is a visual novel video game developed by 5pb." "A Japanese \"visual novel\" (video game)" "Japanese visual novel"
bn:00014834n	 "Someone skilled in penmanship" "Someone skilled in penmanship" "Chinese, Korean, and Japanese calligraphy grouping" "Someone skilled in penmanship." "The art of beautiful writing."
bn:00009780n	 "Fighting; acts of overt warfare" "Fighting; acts of overt warfare" "The outbreak of hostilities" "The outbreak of hostilities"
bn:00063792n	 "An affix that is added at the end of the word" "An affix that is added at the end of the word" "In linguistics, a suffix is an affix which is placed after the stem of a word." "Type of morpheme"
bn:00001745n	 "A quality proceeding from feelings of affection or love" "A quality proceeding from feelings of affection or love" "In English, the word like has a very flexible range of uses, ranging from conventional to non-standard." "English word" "The quality of being loving."
bn:00067811n	 "The hand that is on the right side of the body" "The hand that is on the right side of the body" "He writes with his right hand but pitches with his left" "Hit him with quick rights to the body" "He writes with his right hand but pitches with his left" "Hit him with quick rights to the body"
bn:00081857n	 "The period of time that it takes for a planet (as, e.g., Earth or Mars) to make a complete revolution around the sun" "The period of time that it takes for a planet (as, e.g., Earth or Mars) to make a complete revolution around the sun" "A year is the orbital period of a planetary body, for example, the Earth, moving in its orbit around the Sun." "A non-SI abbreviation for this unit of time" "Estimated period of time for the Earth's orbit around the Sun and observed at a fixed geographic point, lasting about 365.25 days on average to the nearest half day; base later modified to define or adjust various calendars" "The time it takes the Earth to complete one revolution of the Sun (between 365.24 and 365.26 days depending on the point of reference)." "The time it takes for any astronomical object (such as a planet, dwarf planet, small Solar System body, or comet) in direct orbit around a star (such as the Sun) to make one revolution around the star." "A Martian year takes 687 of our days" "A Martian year takes 687 of our days" "Mars goes around the sun once in a Martian year, or 1.88 Earth years."
bn:00035711n	 "An official who enforces the rules at a football game" "An official who enforces the rules at a football game"
bn:00043139n	 "An entrance equipped with a hatch; especially a passageway between decks of a ship" "An entrance equipped with a hatch; especially a passageway between decks of a ship" "A narrow passageway between the decks of a ship or submarine." "A means of passing through a wall or floor, having a hatch (especially on a ship); a doorway with a hatch rather than a door." "Doorway with hatch."
bn:00026159n	 "A scientist who studies the growth and density of populations and their vital statistics" "A scientist who studies the growth and density of populations and their vital statistics" "Study of human populations"
bn:00043523n	 "Someone motivated by desires for sensual pleasures" "Someone motivated by desires for sensual pleasures" "(philosophy) The belief that pleasure or happiness is the highest good in life." "The belief that pleasure or happiness is the highest good in life. Some hedonists, such as the Epicureans, have insisted that pleasure of the entire mind, not just pleasure of the senses, is the highest good." "Someone devoted to hedonism." "Someone devoted to hedonism." "A person who is motivated by personal enjoyment; a hedonist."
bn:00043632n	 "(Middle Ages) a person who is bound to the land and owned by the feudal lord" "(Middle Ages) a person who is bound to the land and owned by the feudal lord" "The feudal system that includes serfs." "Feudal system." "A feudal tenant." "Feudal tenant."
bn:00004379n	 "(Latin) year" "(Latin) year" "A year measured relative to a certain extraterrestrial planet." "Per annum" "Per annum"
bn:00004840n	 "The trait of lacking enthusiasm for or interest in things generally" "The trait of lacking enthusiasm for or interest in things generally" "Absence of interest." "The trait of lacking enthusiasm for or interest in things generally." "A lack of enthusiasm." "The state or quality of being spiritless."
bn:00006647n	 "Tissue consisting of large stellate neuroglial cells" "Tissue consisting of large stellate neuroglial cells" "The group of star-shaped glial cells in the brain and spinal cord." "Any of various glial cells that are larger than microglia."
bn:00043151n	 "A haulage contractor" "A haulage contractor" "A person or company engaged in the haulage of goods." "A person or company engaged in the haulage of goods."
bn:00028015n	 "Writing that provides information (especially information of an official nature)" "Writing that provides information (especially information of an official nature)" "A document is a written, drawn, presented, or memorialized representation of thought, often the manifestation of non-fictional, as well as fictional, content." "Written or drawn representation of thoughts" "An original or official paper used as the basis, proof, or support of anything else, including any writing, book, or other instrument conveying information pertinent to such proof or support." "Original or official paper."
bn:00072876n	 "A strong wind from the southeast" "A strong wind from the southeast" "A strong wind blowing from the southeast."
bn:00062148n	 "(biology) the major taxonomic group of animals and plants; contains classes" "(biology) the major taxonomic group of animals and plants; contains classes" "In biology, a phylum is a level of classification or taxonomic rank below kingdom and above class." "A biological taxon between Kingdom and Class" "Taxonomic rank"
bn:00058380n	 "A sexually attractive young woman" "A sexually attractive young woman" "A sexually attractive girl or young woman." "A sexually attractive girl or young woman."
bn:00037572n	 "Wheelwork consisting of a connected set of rotating gears by which force is transmitted or motion or torque is changed" "Wheelwork consisting of a connected set of rotating gears by which force is transmitted or motion or torque is changed" "In a motor vehicle, the powertrain consists of the source of propulsion and the drivetrain system which transfers this energy into forward movement of the vehicle." "A gear train is a mechanical system formed by mounting gears on a frame so the teeth of the gears engage." "The components of a motor vehicle including both engine and drivetrain." "In mechanics -- an arrangement of gears" "Interconnected series of two or more gears in a machine" "A configuration of the transmission of an motor car so as to achieve a particular ratio of engine to axle torque." "A group of animals, vehicles, or people that follow one another in a line." "A wheel with grooves (teeth) engraved on the outer circumference, such that two such devices can interlock and convey motion from one to the other; a gear wheel." "The group of components in a vehicle that generate power and deliver it to the road surface, water, or air." "Powertrain." "The fool got his tie caught in the geartrain" "The fool got his tie caught in the geartrain"
bn:00024182n	 "Coloring that conceals or disguises an animal's shape" "Coloring that conceals or disguises an animal's shape" "The use of natural or artificial material on personnel, objects, or tactical positions with the aim of confusing, misleading, or evading the enemy." "Military."
bn:00029945n	 "An exaggerated opinion of your own importance" "An exaggerated opinion of your own importance" "Egotism is defined as the drive to maintain and enhance favorable views of oneself, and generally features an inflated opinion of one's personal features and importance distinguished by a persons amplified vision of ones self and self importance." "An excessive or exaggerated sense of self-importance" "Drive to maintain and enhance favorable views of oneself" "The tendency to think of self and self-interest." "An exaggerated estimate of one's own importance or merit, especially as manifested by the conduct or manners; self-conceit." "Exaggerated estimate of one's own importance."
bn:00060423n	 "(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately" "(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately" "Trousers, slacks, or pants are an item of clothing that might have originated in Central Asia, worn from the waist to the ankles, covering both legs separately." "An item of clothing worn on the lower part of the body and covering both legs separately." "A pair of pants (trousers or underpants)." "A pair of trousers." "An article of clothing that covers the part of the body between the waist and the ankles or knees, and is divided into a separate part for each leg." "He had a sharp crease in his trousers" "He had a sharp crease in his trousers" "And this is our linen trouser, sir." "The trousers need to be shortened." "Why can women wear trousers when men can’t wear skirts?"
bn:00071379n	 "A small locomotive used to move cars around but not to make trips" "A small locomotive used to move cars around but not to make trips" "A switcher, shunter, yard pilot, switch engine, yard goat, or shifter is a small railroad locomotive used for manoeuvring railroad cars inside a rail yard in a process known as switching or shunting." "A shunting locomotive" "Small railroad locomotive intended for assembling trains" "A railway locomotive used for shunting; a switcher." "A railway locomotive used for shunting." "A railway locomotive used for shunting; a shunter." "A railway locomotive used for shunting; a shunter."
bn:00027620n	 "A feeling of aversion or antipathy" "A feeling of aversion or antipathy" "Extreme hatred or detestation; the feeling of utter dislike." "A feeling of aversion or antipathy." "An attitude or a feeling of distaste or aversion." "Feeling of distaste." "My dislike of him was instinctive" "My dislike of him was instinctive"
bn:00075290n	 "(biology) a taxonomic group ranking between a phylum and below a class or subclass" "(biology) a taxonomic group ranking between a phylum and below a class or subclass" "A biological taxon, a group of species, part of a kingdom and consisting of one or more classes." "A taxonomic category above phylum and below subkingdom." "Taxonomic category above phylum and below subkingdom."
bn:00039966n	 "Type and sole genus of the Trichechidae" "Type and sole genus of the Trichechidae" "Any of several plant-eating marine mammals, of family Trichechidae, found in tropical regions."
bn:00030586n	 "Apathy demonstrated by an absence of emotional reactions" "Apathy demonstrated by an absence of emotional reactions" "The property of being emotionless."
bn:00078738n	 "A period of time containing 365 (or 366) days" "A period of time containing 365 (or 366) days" "A period between set dates that mark a year, from January 1 to December 31 by the Gregorian calendar." "A Julian year, exactly 365.25 days, represented by \"a\"." "A Julian year." "She is 4 years old" "In the year 1920" "She is 4 years old" "In the year 1920"
bn:00023161n	 "A revolutionary whose aim is to reverse the changes introduced by an earlier revolution" "A revolutionary whose aim is to reverse the changes introduced by an earlier revolution" "A counter-revolutionary or an anti-revolutionary is anyone who opposes a revolution, particularly one who acts after a revolution in order to try to overturn it or reverse its course, in full or in part." "a revolution to reverse a recent revolution" "A revolution to reverse a recent revolution" "One who opposes a sociopolitical revolution." "A person who opposes a revolution and attempts to reverse the changes made by it." "Person who opposes a revolution."
bn:00023216n	 "A revolution whose aim is to reverse the changes introduced by a previous revolution" "A revolution whose aim is to reverse the changes introduced by a previous revolution" "A revolution aiming to reverse the political or social changes instigated by a previous revolution." "Revolution to reverse effects of previous revolution." "The military leaders behind the original coup were executed in the aftermath of the counterrevolution."
bn:00027917n	 "(botany) taxonomic unit of plants corresponding to a phylum" "(botany) taxonomic unit of plants corresponding to a phylum" "A biological taxon in botany, mycology and microbiology, a group of species, part of a kingdom and consisting of one or more classes" "A rank below kingdom and above class, particularly used of plants or fungi, also (particularly of animals) called a phylum; a taxon at that rank." "A rank in the classification of organisms, below kingdom and above class; also called a division, especially in describing plants; a taxon at that rank." "(biology, taxonomy) A rank in the classification of organisms, below kingdom and above class." "Magnolias belong to the division Magnoliophyta." "Mammals belong to the phylum Chordata."
bn:00028567n	 "An artist skilled at drawing" "An artist skilled at drawing" "A woman exceptionally skilled in drawing." "An artist who primarily makes drawings." "Artist who primarily makes drawings."
bn:00043152n	 "The activity of transporting goods by truck" "The activity of transporting goods by truck" "Haulage is the business of transporting goods by road or rail between suppliers and large consumer outlets, factories, warehouses, or depos." "Road transport or road transportation is a type of transport by using roads." "Collective term for all forms of transport which takes place on roads, or surface, exept railroads" "Transporting of goods or materials by road or rail" "The business of transporting goods." "Business of transporting goods." "The carrying of goods by truck." "The conveyance of freight by trucks."
bn:00039067n	 "Type genus of the Percidae" "Type genus of the Percidae" "Any of the three species of spiny-finned freshwater fish in the genus Perca." "Fish of the genus Perca."
bn:00034718n	 "(usually plural) a device with an explosive that burns at a low rate and with colored flames; can be used to illuminate areas or send signals etc." "(usually plural) a device with an explosive that burns at a low rate and with colored flames; can be used to illuminate areas or send signals etc." "Fireworks are a class of low explosive pyrotechnic devices used for aesthetic and entertainment purposes." "Such as firecrackers, bottle rockets, bang snaps and others" "A device using gunpowder and other chemicals which, when lit, emits a combination of coloured flames, sparks, whistles or bangs for entertainment purposes." "An event or a display where fireworks are set off." "Event or display of fireworks."
bn:00044420n	 "The quality of being holy" "The quality of being holy" "Sacred describes something that is dedicated or set apart for the service or worship of a deity; considered worthy of spiritual respect or devotion; or inspires awe or reverence among believers." "Revered due to association with holiness" "The state or condition of being holy." "State or condition of being holy." "Holiness; sacredness; sanctity." "Something considered sacred." "Something considered sacred."
bn:00056901n	 "Cavity forming the upper part of the pharynx" "Cavity forming the upper part of the pharynx" "The nasal part of the pharynx, lying behind the nose and above the level of the soft palate." "The part of the pharynx below and behind the larynx." "The part of the pharynx below and behind the larynx." "Anatomy: the part of the pharynx below and behind the larynx." "The nasal part of the pharynx, lying behind the nose and above the level of the soft palate." "Nasal part of the pharynx."
bn:00067817n	 "A person who uses the right hand more skillfully than the left" "A person who uses the right hand more skillfully than the left"
bn:00075071n	 "Formation of a word by means of a suffix" "Formation of a word by means of a suffix" "The process of adding a suffix to a word." "Addition of a suffix."
bn:00079190n	 "The quality of giving displeasure" "The quality of giving displeasure" "The recent unpleasantness of the weather" "The recent unpleasantness of the weather"
